entity_name,mention_letters_count,letter_numbers,suggested_place_type_code,parent_place_name,parent_place_type_code,region_sc_code,modern_state,action,notes
Charleston,169,002;004;006;009;011;012;013;014;015;016;018;020;021;022;023;025;026;027;028;029;030;031;032;033;034;035;036;037;038;040;041;044;045;046;047;051;052;054;055;057;058;060;061;062;063;066;069;076;081;082;086;089;095;101;106;107;113;114;118;128;129;131;132;136;138;142;144;146;147;148;150;152;153;155;156;157;160;161;162;164;166;167;168;169;170;171;172;173;174;176;177;181;182;183;205;206;207;208;209;210;211;212;214;215;216;219;220;222;224;233;234;236;238;240;241;242;243;245;246;250;251;253;254;255;257;258;260;261;262;263;264;266;268;269;270;272;273;274;277;278;279;283;284;286;287;288;289;290;291;293;294;296;297;299;300;302;303;304;305;306;307;308;309;310;311;314;315;316;318,,,,,,,
Johnston,47,092;105;110;117;118;123;124;129;132;133;134;140;143;146;151;163;164;166;167;170;172;174;176;178;181;185;248;258;265;272;273;277;279;284;287;289;297;300;302;303;307;308;309;311;312;315;319,,,,,,,
Washington,31,027;029;031;032;046;048;049;063;098;102;105;106;107;125;167;211;215;216;217;219;226;234;253;254;257;260;265;275;276;282;293,,,,,,,
Georgia,25,016;017;023;024;026;029;030;035;036;037;038;070;084;125;128;130;145;207;209;227;260;270;279;307;315,,,,,,,
Caroline,24,011;031;040;057;076;077;078;079;080;092;093;103;115;116;124;131;132;133;216;232;272;302;305;309,,,,,,,
New  York,22,027;031;032;035;036;054;071;121;124;136;144;172;179;206;211;215;216;232;234;283;284;289,,,,,,,
Virginia,22,016;026;027;029;035;037;079;080;097;100;134;140;143;146;148;170;177;265;284;289;297;315,,,,,,,
South  Carolina,21,021;023;026;029;030;035;048;049;096;099;114;125;129;138;146;166;209;220;266;273;275,,,,,,,
Savannah,18,024;026;037;047;055;067;143;162;168;169;172;242;254;260;298;304;318;319,,,,,,,
States,18,017;021;023;025;026;029;035;130;136;138;166;182;272;275;276;279;309;315,,,,,,,
United  States,18,025;029;030;031;039;085;100;128;129;131;138;213;250;273;276;277;283;317,,,,,,,
Richmond,14,079;143;146;150;167;174;232;234;284;286;307;308;309;315,,,,,,,
Smith,13,016;023;025;026;030;041;063;072;211;216;217;304;318,,,,,,,
the  Union,13,022;037;038;039;121;125;130;141;205;207;208;279;289,,,,,,,
Philadelphia,12,008;014;016;029;032;096;206;232;233;234;251;308,,,,,,,
Columbia,11,016;029;031;032;033;035;039;073;170;181;213,,,,,,,
Drayton,11,017;023;025;029;036;037;038;057;166;170;289,,,,,,,
Allston,10,022;073;110;130;145;172;289;297;315;318,,,,,,,
Fort,10,027;131;132;135;176;272;273;279;281;306,,,,,,,
Georgetown,9,009;016;021;023;046;047;051;059;305,,,,,,,
Greenville,9,025;031;053;076;109;206;288;300;315,,,,,,,
Henry,9,046;084;168;209;248;259;272;273;308,,,,,,,
Mississippi,9,048;113;150;169;170;208;209;279;315,,,,,,,
Parent,9,093;110;128;143;144;146;147;169;178,,,,,,,
Abbeville,8,021;023;039;065;075;089;143;240,,,,,,,
Island,8,035;069;076;093;148;215;253;273,,,,,,,
Magrath,8,035;036;037;052;110;148;195;308,,,,,,,
North  Carolina,8,017;123;164;166;208;240;297;315,,,,,,,
St.,8,022;026;032;136;160;182;267;279,,,,,,,
Alabama,7,017;031;125;131;213;312;315,,,,,,,
Augusta,6,052;053;088;107;156;190,,,,,,,
America,5,036;084;209;245;285,,,,,,,
England,5,166;168;176;305;308,,,,,,,
Wilmington,5,080;124;234;318;319,,,,,,,
Baltimore,4,052;209;234;317,,,,,,,
Columbus,4,026;037;048;164,,,,,,,
France,4,002;040;176;283,,,,,,,
Grimke,4,031;037;205;315,,,,,,,
Manassas,4,144;145;146;164,,,,,,,
New  Orleans,4,150;151;153;305,,,,,,,
Scuppernong,4,104;162;289;305,,,,,,,
Singleton,4,027;077;078;252,,,,,,,
"South 
Carolina",4,031;209;270;279,,,,,,,
Whigs,4,037;071;083;100,,,,,,,
Camden,3,023;076;249,,,,,,,
Carolina,3,039;131;207,,,,,,,
Cherry  Hill,3,128;172;287,,,,,,,
Florida,3,111;166;315,,,,,,,
Hilton,3,166;177;181,,,,,,,
Kohne,3,073;102;254,,,,,,,
London,3,002;040;266,,,,,,,
Nashville,3,048;287;297,,,,,,,
New  England,3,049;139;179,,,,,,,
Norfolk,3,170;289;308,,,,,,,
Ohio,3,016;037;047,,,,,,,
Pendleton,3,012;035;089,,,,,,,
Pettigrew,3,040;173;176,,,,,,,
Rhett,3,179;248;315,,,,,,,
Ripley,3,046;166;306,,,,,,,
Rutledge,3,026;048;292,,,,,,,
S.C.,3,004;166;264,,,,,,,
Sweet,3,078;079;232,,,,,,,
Tennessee,3,072;265;297,,,,,,,
Texas,3,049;076;318,,,,,,,
The  Union,3,023;037;038,,,,,,,
Adieu,2,028;164,,,,,,,
Athens,2,314;315,,,,,,,
Blanding,2,031;207,,,,,,,
Boston,2,046;269,,,,,,,
Boyce,2,013;073,,,,,,,
BRUSSELS,2,023;025,,,,,,,
Calhoun,2,049;168,,,,,,,
Canton,2,136;283,,,,,,,
Carolinas,2,297;315,,,,,,,
Charlotte,2,121;161,,,,,,,
China,2,050;172,,,,,,,
Circus,2,026;033,,,,,,,
Cobb,2,147;314,,,,,,,
Corinth,2,168;319,,,,,,,
Cousin,2,157;210,,,,,,,
Dawson,2,013;085,,,,,,,
Edgefield,2,205;237,,,,,,,
Edisto,2,166;289,,,,,,,
Gen.,2,289;304,,,,,,,
Grayson,2,017;108,,,,,,,
Hamburgh,2,061;232,,,,,,,
Havana,2,026;305,,,,,,,
Henrietta,2,300;315,,,,,,,
Howland,2,046;236,,,,,,,
Kentucky,2,016;315,,,,,,,
Kings,2,288;315,,,,,,,
Kirby,2,304;318,,,,,,,
Knoxville,2,168;172,,,,,,,
Liverpool,2,170;266,,,,,,,
Maine,2,063;259,,,,,,,
Marcus,2,161;196,,,,,,,
Maryland,2,052;138,,,,,,,
Massachusetts,2,063;278,,,,,,,
McClellan,2,170;311,,,,,,,
Meeting  Street,2,156;317,,,,,,,
Mexico,2,100;240,,,,,,,
Nassau,2,168;318,,,,,,,
"New
York",2,046;143,,,,,,,
New  Hampshire,2,100;208,,,,,,,
"North
Carolina",2,161;162,,,,,,,
North  Carolina  Regiment,2,143;146,,,,,,,
O'Neall,2,025;035,,,,,,,
Paris,2,031;136,,,,,,,
Plowden,2,035;168,,,,,,,
Rome,2,029;266,,,,,,,
Savannah  River,2,013;036,,,,,,,
Scotch,2,003;210,,,,,,,
Spartanburg,2,025;172,,,,,,,
Springs,2,079;232,,,,,,,
St.  Finbar's,2,059;156,,,,,,,
St.  Georges,2,020;022,,,,,,,
St.  Helena,2,014;022,,,,,,,
Suisse,2,136;283,,,,,,,
Sumter,2,135;170,,,,,,,
the  hill,2,079;201,,,,,,,
Treville,2,120;268,,,,,,,
Turnbull,2,023;030,,,,,,,
us,2,016;235,,,,,,,
Virginian,2,131;147,,,,,,,
Waccamaw,2,289;305,,,,,,,
Warm  Springs,2,077;252,,,,,,,
Yeadon,2,046;264,,,,,,,
Yours,2,208;211,,,,,,,
Yverdun,2,136;283,,,,,,,
a  Union  Convention,1,039,,,,,,,
Abbott,1,055,,,,,,,
Alais,1,266,,,,,,,
Allegheny,1,077,,,,,,,
Amelia,1,315,,,,,,,
Bacot,1,037,,,,,,,
Baden,1,181,,,,,,,
Barrataria,1,213,,,,,,,
Beaufort,1,026,,,,,,,
Belgium,1,029,,,,,,,
Bench,1,036,,,,,,,
Bensse,1,032,,,,,,,
Berlin,1,248,,,,,,,
Bertrand,1,031,,,,,,,
Blatchford,1,162,,,,,,,
Boutiton,1,136,,,,,,,
Bragg,1,319,,,,,,,
California,1,244,,,,,,,
Canterbury,1,026,,,,,,,
Charta,1,284,,,,,,,
Chattahoochee,1,227,,,,,,,
Chesterfield,1,032,,,,,,,
Cincinnati,1,215,,,,,,,
Clenkscales,1,119,,,,,,,
Conroy,1,181,,,,,,,
Constellation^,1,226,,,,,,,
Countess,1,172,,,,,,,
Cowden,1,076,,,,,,,
Creek,1,024,,,,,,,
Cummings,1,023,,,,,,,
Delaware,1,035,,,,,,,
Dresden,1,146,,,,,,,
Dublin,1,005,,,,,,,
Edisto  Island,1,154,,,,,,,
Flat  Rock,1,157,,,,,,,
Forsyth,1,026,,,,,,,
Freetraders,1,016,,,,,,,
Gazetteer,1,153,,,,,,,
Gules,1,210,,,,,,,
Gulf  States,1,297,,,,,,,
Hamburg,1,239,,,,,,,
Hammond,1,073,,,,,,,
Harrodsburg,1,315,,,,,,,
Henderson,1,315,,,,,,,
Hervemont,1,050,,,,,,,
Hoarf,1,073,,,,,,,
Honesty,1,237,,,,,,,
Hungary,1,248,,,,,,,
Ireland,1,040,,,,,,,
Johnston  Pettigrew,1,261,,,,,,,
Kimhardt,1,095,,,,,,,
Legis,1,020,,,,,,,
Liberty,1,052,,,,,,,
Liberty  Street,1,052,,,,,,,
Logan,1,156,,,,,,,
london,1,266,,,,,,,
Longcane,1,002,,,,,,,
Louisiana,1,279,,,,,,,
Louisville,1,048,,,,,,,
Magna,1,284,,,,,,,
Magrath*,1,013,,,,,,,
Marietta,1,265,,,,,,,
Marlborough,1,016,,,,,,,
Mathewson,1,265,,,,,,,
McFarland,1,262,,,,,,,
McKay,1,114,,,,,,,
Mobile,1,050,,,,,,,
Moscow,1,153,,,,,,,
Munford,1,220,,,,,,,
"New
Hampshire",1,100,,,,,,,
"New
Orleans",1,080,,,,,,,
New  Jersey,1,208,,,,,,,
Newport,1,216,,,,,,,
Nominate,1,017,,,,,,,
"North 
Carolina",1,285,,,,,,,
"North  Carolina 
Regiment",1,289,,,,,,,
North  Carolina  Volunteers,1,300,,,,,,,
Northern  States,1,139,,,,,,,
Oglethorpe,1,017,,,,,,,
Orange  Street,1,047,,,,,,,
P.S.,1,226,,,,,,,
Pacelot,1,253,,,,,,,
Pennsylvania,1,079,,,,,,,
Petersburg,1,312,,,,,,,
Peurysburg,1,136,,,,,,,
Purrysburg,1,166,,,,,,,
quondam,1,106,,,,,,,
Red  Springs,1,232,,,,,,,
relatione^,1,039,,,,,,,
Reubens,1,266,,,,,,,
Rochefoucauld,1,214,,,,,,,
Sancho,1,213,,,,,,,
Sappington,1,262,,,,,,,
Scotland,1,040,,,,,,,
Singular,1,274,,,,,,,
Sister,1,287,,,,,,,
Smalley,1,268,,,,,,,
"South
Carolina",1,121,,,,,,,
"South  Carolina 
College",1,315,,,,,,,
South  Carolina  Historical  Society,1,290,,,,,,,
South Carolina,1,002,,,,,,,
Southern  States,1,026,,,,,,,
St.  Bartholomews,1,022,,,,,,,
St.  Finbarr's,1,155,,,,,,,
St.  James,1,209,,,,,,,
St.  James  Santee,1,022,,,,,,,
St.  Luke's,1,022,,,,,,,
St.  Stephen's,1,036,,,,,,,
St.  Thomas,1,022,,,,,,,
Stand,1,174,,,,,,,
Stapleton,1,211,,,,,,,
Starke,1,213,,,,,,,
Stono,1,166,,,,,,,
Sweet  Springs,1,079,,,,,,,
SWITZERLAND,1,136,,,,,,,
Tallahassee,1,262,,,,,,,
Tempe,1,303,,,,,,,
the  City  Hall,1,215,,,,,,,
the  Union  party,1,205,,,,,,,
Themis,1,269,,,,,,,
Thine,1,233,,,,,,,
Thurston,1,066,,,,,,,
Troy,1,008,,,,,,,
Ultima,1,215,,,,,,,
United  States  Constitution,1,039,,,,,,,
Va.,1,234,,,,,,,
Wardlaw,1,249,,,,,,,
Welton,1,115,,,,,,,
Weston,1,168,,,,,,,
Wijliams,1,293,,,,,,,
Wilkinson,1,149,,,,,,,
Williamsburg,1,023,,,,,,,
Winnsborough,1,309,,,,,,,
Winyah  Bay,1,297,,,,,,,
Woodruff,1,149,,,,,,,
Yankee,1,120,,,,,,,
York,1,240,,,,,,,
